us_state_code,us_state_name,Abbreviation,num_ec_votes,year,outcomes_DC,outcomes_RP
AK, Alaska,Alaska,3,2008,0.38,0.6
AZ, Arizona,Ariz.,11,2008,0.45,0.54
AR, Arkansas,Ark.,6,2008,0.39,0.59
CA, California,Calif.,55,2008,0.61,0.37
CO, Colorado,Colo.,9,2008,0.54,0.45
CT, Connecticut,Conn.,7,2008,0.61,0.38
DE, Delaware,Del.,3,2008,0.62,0.37
DC, District of Columbia,D.C.,3,2008,0.93,0.07
FL, Florida,Fla.,29,2008,0.51,0.48
GA, Georgia,Ga.,16,2008,0.47,0.52
HI, Hawaii,Hawaii,4,2008,0.72,0.27
ID, Idaho,Idaho,4,2008,0.36,0.62
IL, Illinois,Ill.,20,2008,0.62,0.37
IN, Indiana,Ind.,11,2008,0.5,0.49
IA, Iowa,Iowa,6,2008,0.54,0.45
KS, Kansas,Kans.,6,2008,0.41,0.57
KY, Kentucky,Ky.,8,2008,0.41,0.57
LA, Louisiana,La.,8,2008,0.4,0.59
ME, Maine,Maine,4,2008,0.58,0.41
MD, Maryland,Md.,10,2008,0.62,0.37
MA, Massachusetts,Mass.,11,2008,0.62,0.36
MI, Michigan,Mich.,16,2008,0.57,0.41
MN, Minnesota,Minn.,10,2008,0.54,0.44
MS, Mississippi,Miss.,6,2008,0.43,0.56
MO, Missouri,Mo.,10,2008,0.49,0.49
MT, Montana,Mont.,3,2008,0.47,0.5
NE, Nebraska,Nebr.,5,2008,0.42,0.57
NV, Nevada,Nev.,6,2008,0.55,0.43
NH, New Hampshire,N.H.,4,2008,0.54,0.45
NJ, New Jersey,N.J.,14,2008,0.57,0.42
NM, New Mexico,N. Mex.,5,2008,0.57,0.42
NY, New York,N.Y.,29,2008,0.62,0.37
NC, North Carolina,N.C.,15,2008,0.5,0.5
ND,  North Dakota,N. Dak.,3,2008,0.45,0.53
OH, Ohio,Ohio,18,2008,0.51,0.47
OK, Oklahoma,Okla.,7,2008,0.34,0.66
OR, Oregon,Oreg.,7,2008,0.57,0.41
PA, Pennsylvania,Pa.,20,2008,0.55,0.44
RI, Rhode Island,R.I.,4,2008,0.63,0.35
SC, South Carolina,S.C.,9,2008,0.45,0.54
SD, South Dakota,S. Dak.,3,2008,0.45,0.53
TN, Tennessee,Tenn.,11,2008,0.42,0.57
TX, Texas,Tex.,38,2008,0.44,0.56
UT, Utah,Utah,6,2008,0.35,0.62
VT, Vermont,Vt.,3,2008,0.68,0.31
VA, Virginia,Va.,13,2008,0.53,0.46
WA, Washington,Wash.,12,2008,0.57,0.41
WV, West Virginia,W. Va.,5,2008,0.43,0.56
WI, Wisconsin,Wis.,10,2008,0.56,0.42
WY, Wyoming,Wyo.,3,2008,0.33,0.65
